Pattern,Detected Text,Start Index
"[»]?Werte[rs]?\s[A-Za-z]*[.!,]?","Wertes erworben, daß er sie nunmehr dem Staate schenke, so würde man sagen: es sei ein Druck auf ihn ausgeübt – er h",1842135
"[»]?Werte[rs]?\s[A-Za-z]*[.!,]?","Werte zu verfügen, gestatte ich mir, sie dem Staate, falls die Vorschläge der Kommission von Senat und Bürge",1851844
"[»]?Werte[rs]?\s[A-Za-z]*[.!,]?","Werte dieses Dings. Ein Schurke von Antiquar, der hier herumreist und die Schlösser unter dem Vorwande bestiehlt",3535943
"[»]?Werte[rs]?\s[A-Za-z]*[.!,]?","Wertes zu brauchen glaubtest und mit ihnen großtatest). Oder ich beobachtete Deine Vorliebe für unanständige,",3691402
"[»]?Werte[rs]?\s[A-Za-z]*[.!,]?",Werte zur Aufführung zu bringen. Ein jeder der Musikanten hatte bereits einen Eichenzweig auf seiner Kappe vo,5750010
"[»]?Werte[rs]?\s[A-Za-z]*[.!,]?","Werte noch da sind, dann sind auch die Ansprüche der Brucknerjungen an Dich noch da. Teile mir bitte mit, ob D",7120345
"[»]?Mein geliebte[rs]?\s[A-Za-z]*[.!,]?","»Mein geliebtes Kind, Du hattest, wie erinnerlich, meinen Mann und mich, Deine Mutter, zu übermorgen zu Tisch gebeten. Wi",1786410
"[»]?Teuerste[sr]?\s[A-Za-z]*[.!,]?",Teuerste auf der Karte. Nichts dünkt ihm für uns gut genug. Wenn er nur nicht gar so besorgt wäre! Jeden Moment ,215717
"[»]?Teure[sr]?\s[A-Za-z]*[.!,]?","Teurer Meister, sagte er stockend, ich hab' Euch ein großes Geständnis zu machen. Crone und ich, wir haben uns gest",2276916
"[»]?Teure[sr]?\s[A-Za-z]*[.!,]?","Teure hochverehrte Frau! Ihnen darf nicht eine gedruckte Karte das Glück verkünden, das Gott mir beschert hat. bei Ihn",4313889
